Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Godzilla,1900,1600,300,543,60,60.049917,-0.049917,41.668885,46.520799,-4.851914,52.420965,52.687188,-0.266223,39.58544075,37.2166392,2.36880155,52.420965,52.687188,-0.266223
Godzilla,2000,1600,400,177,42.616667,42.816667,-0.2,28.656667,33.578333,-4.921666,99.973333,99.918333,0.055,28.656667,26.8626664,1.7940006,32.58799252,32.57006435,0.017928177
Godzilla,2000,1600,400,266,60,60,0,40.11,46.648333,-6.538333,94.99,95.108333,-0.118333,40.11,37.3186664,2.7913336,46.53285451,46.59082243,-0.057967915
Godzilla,2000,1600,400,350,60.05,60.033278,0.016722,40.256667,46.643927,-6.38726,74.828333,75.580699,-0.752366,40.256667,37.3151416,2.9415254,48.23189052,48.71684098,-0.48495046
Godzilla,2000,1600,400,420,60.05,60.033333,0.016667,40.383333,46.726667,-6.343334,64.831667,65.07,-0.238333,40.383333,37.3813336,3.0019994,50.14604077,50.33038674,-0.184345967
Godzilla,2000,1600,400,480,60.049917,60.016667,0.03325,40.259567,46.728333,-6.468766,58.004992,58.273333,-0.268341,40.259567,37.3826664,2.8769006,51.27513105,51.51233856,-0.237207514
Godzilla,2000,1600,400,543,60.016667,60.049917,-0.03325,40.44,46.520799,-6.080799,52.241667,52.687188,-0.445521,40.44,37.2166392,3.2233608,52.241667,52.687188,-0.445521
Godzilla,1800,1700,100,177,42.55,42.516667,0.033333,30.615,31.856667,-1.241667,99.948333,99.903333,0.045,27.5535,27.07816695,0.47533305,32.57984335,32.56517485,0.014668508
Godzilla,1800,1700,100,266,60.033278,60,0.033278,43.018303,44.645,-1.626697,95.101497,95.068333,0.033164,38.7164727,37.94825,0.7682227,46.58747367,46.57122758,0.016246085
Godzilla,1800,1700,100,350,60.05,60.066667,-0.016667,43.213333,44.598333,-1.385,75.266667,75.535,-0.268333,38.8919997,37.90858305,0.98341665,48.51442624,48.6873849,-0.172958656
Godzilla,1800,1700,100,420,60.016639,60.049917,-0.033278,43.519135,44.680532,-1.161397,64.926789,65.144759,-0.21797,39.1672215,37.9784522,1.1887693,50.2196158,50.38821138,-0.16859558
Godzilla,1800,1700,100,480,60.049917,60.033278,0.016639,43.159734,44.745424,-1.58569,58.164725,58.199667,-0.034942,38.8437606,38.0336104,0.8101502,51.41633149,51.44721945,-0.030887956
Godzilla,1800,1700,100,543,60.016639,60.033333,-0.016694,43.171381,44.598333,-1.426952,52.499168,52.696667,-0.197499,38.8542429,37.90858305,0.94565985,52.499168,52.696667,-0.197499
Godzilla,1900,1700,200,177,42.445923,42.516667,-0.070744,29.515807,31.856667,-2.34086,99.955075,99.903333,0.051742,28.04001665,27.07816695,0.9618497,32.58204102,32.56517485,0.016866177
Godzilla,1900,1700,200,266,60.016639,60,0.016639,41.582363,44.645,-3.062637,95.094842,95.068333,0.026509,39.50324485,37.94825,1.55499485,46.58421358,46.57122758,0.012985993
Godzilla,1900,1700,200,350,60.05,60.066667,-0.016667,41.626667,44.598333,-2.971666,75.233333,75.535,-0.301667,39.54533365,37.90858305,1.6367506,48.49294024,48.6873849,-0.194444659
Godzilla,1900,1700,200,420,60.016667,60.049917,-0.03325,41.585,44.680532,-3.095532,64.868333,65.144759,-0.276426,39.50575,37.9784522,1.5272978,50.17440122,50.38821138,-0.213810166
